teams1,teams2,score1,score2,date,time,location,game_status,1_1_inning,1_2_inning,1_3_inning,1_4_inning,1_5_inning,1_6_inning,1_7_inning,1_8_inning,1_9_inning,1_10_inning,1_11_inning,1_12_inning,1_R_inning,1_H_inning,1_E_inning,1_B_inning,2_1_inning,2_2_inning,2_3_inning,2_4_inning,2_5_inning,2_6_inning,2_7_inning,2_8_inning,2_9_inning,2_10_inning,2_11_inning,2_12_inning,2_R_inning,2_H_inning,2_E_inning,2_B_inning
삼성,KIA,2,5,04.05,18:30,광주,경기종료,0,0,0,0,0,0,1,1,0,-,-,-,2,5,1,5,1,0,0,0,2,2,0,0,-,-,-,-,5,9,1,3
한화,키움,6,7,04.06,17:00,고척,경기종료,0,1,0,0,0,1,2,0,2,-,-,-,6,8,1,4,4,0,2,0,0,0,1,0,-,-,-,-,7,6,0,7
KT,LG,4,8,04.06,17:00,잠실,경기종료,0,0,1,0,0,2,0,1,0,-,-,-,4,9,0,2,0,0,0,0,1,0,1,2,4,-,-,-,8,12,0,5
두산,롯데,1,8,04.06,17:00,사직,경기종료,0,0,0,0,1,0,0,0,0,-,-,-,1,6,1,1,0,0,4,0,2,0,2,0,-,-,-,-,8,12,0,2
SSG,NC,3,16,04.06,17:00,창원,경기종료,0,0,0,0,0,0,3,0,0,-,-,-,3,6,1,1,9,3,2,0,2,0,0,0,-,-,-,-,16,17,1,10
삼성,KIA,7,4,04.06,17:00,광주,경기종료,0,0,2,0,2,0,0,0,3,-,-,-,7,11,2,12,0,0,0,3,0,1,0,0,0,-,-,-,4,9,1,2
한화,키움,3,4,04.07,14:00,고척,경기종료,1,0,0,0,0,2,0,0,0,0,0,-,3,10,0,8,1,0,0,0,0,0,2,0,0,0,0,-,4,8,0,3
KT,LG,7,16,04.07,14:00,잠실,경기종료,0,0,4,0,0,3,0,0,0,-,-,-,7,11,0,6,3,3,0,0,2,0,4,4,-,-,-,-,16,16,0,13
두산,롯데,6,7,04.07,14:00,사직,경기종료,1,1,0,0,0,0,0,4,0,0,-,-,6,10,3,4,0,0,0,0,0,0,4,2,0,0,-,-,7,10,1,6
SSG,NC,1,10,04.07,14:00,창원,경기종료,0,1,0,0,0,0,0,0,0,-,-,-,1,7,0,1,0,2,2,0,3,0,3,0,-,-,-,-,10,12,2,6
